,product_id,onsale_web,price,stock_quantity,stock_status
0,3847,1,24.2,0,outofstock
1,3849,1,34.3,0,outofstock
2,3850,1,20.8,0,outofstock
3,4032,1,14.1,0,outofstock
4,4039,1,46.0,0,outofstock
5,4040,1,34.3,0,outofstock
6,4041,1,32.7,15,instock
7,4042,1,31.2,34,instock
8,4043,1,60.0,12,instock
9,4045,1,42.6,66,instock
10,4046,1,80.0,0,outofstock
11,4047,1,18.3,36,instock
12,4048,1,22.8,22,instock
13,4049,1,19.3,46,instock
14,4050,1,21.8,0,outofstock
15,4051,1,7.7,41,instock
16,4052,1,33.7,35,instock
17,4053,1,44.3,16,instock
18,4054,1,71.6,0,outofstock
19,4055,0,86.1,0,outofstock
20,4056,1,12.7,0,outofstock
21,4057,1,8.7,112,instock
22,4058,1,8.7,267,instock
23,4059,1,8.7,36,instock
24,4060,1,11.9,73,instock
25,4062,1,11.9,60,instock
26,4063,1,14.5,10,instock
27,4064,1,14.4,27,instock
28,4065,1,19.5,35,instock
29,4066,1,20.8,65,instock
30,4067,1,22.0,31,instock
31,4068,1,16.6,157,instock
32,4069,1,60.0,0,outofstock
33,4070,1,23.4,98,instock
34,4071,1,33.2,16,instock
35,4072,1,32.0,28,instock
36,4073,1,77.8,11,instock
37,4074,1,12.7,50,instock
38,4075,1,14.7,54,instock
39,4076,1,14.05,53,instock
40,4077,1,22.9,48,instock
41,4078,1,44.0,14,instock
42,4079,1,37.0,0,outofstock
43,4081,1,39.0,0,outofstock
44,4083,1,17.0,0,outofstock
45,4084,1,23.2,14,instock
46,4085,1,19.0,37,instock
47,4086,1,16.4,31,instock
48,4087,1,14.4,45,instock
49,4090,0,73.0,0,outofstock
50,4092,0,47.0,0,outofstock
51,4094,1,13.7,24,instock
52,4095,1,12.6,19,instock
53,4096,1,22.8,12,instock
54,4097,1,12.8,26,instock
55,4098,1,22.1,22,instock
56,4099,1,12.8,43,instock
57,4100,1,15.8,7,instock
58,4101,1,15.8,37,instock
59,4102,1,16.3,16,instock
60,4103,1,16.3,6,instock
61,4104,1,9.7,37,instock
62,4105,1,6.8,42,instock
63,4106,1,12.6,26,instock
64,4107,1,35.0,35,instock
65,4108,1,31.7,0,outofstock
66,4115,1,100.0,11,instock
67,4130,1,23.0,0,outofstock
68,4132,1,88.4,5,instock
69,4137,1,29.8,0,outofstock
70,4138,1,25.7,0,outofstock
71,4139,1,77.4,7,instock
72,4141,1,39.0,1,instock
73,4142,1,53.0,8,instock
74,4144,1,49.0,11,instock
75,4146,1,29.5,33,instock
76,4147,1,33.0,7,instock
77,4148,1,37.5,18,instock
78,4149,1,69.0,34,instock
79,4150,1,59.0,17,instock
80,4151,1,13.7,0,outofstock
81,4152,1,19.2,57,instock
82,4153,1,29.0,0,outofstock
