,product_id,id_web
0,3847,15298
1,3849,15296
2,3850,15300
3,4032,19814
4,4039,19815
5,4040,15303
6,4041,14975
7,4042,16042
8,4043,14980
9,4045,16041
10,4046,15269
11,4047,14977
12,4048,16044
13,4049,16043
14,4050,16449
15,4051,16045
16,4052,16030
17,4053,13127
18,4054,19816
19,4055,
20,4056,16029
21,4057,16039
22,4058,16318
23,4059,16275
24,4060,16498
25,4062,16320
26,4063,16319
27,4064,15966
28,4065,15022
29,4066,15967
30,4067,15490
31,4068,16416
32,4069,11862
33,4070,15444
34,4071,15953
35,4072,12045
36,4073,13074
37,4074,15941
38,4075,16069
39,4076,13072
40,4077,15440
41,4078,13435
42,4079,13078
43,4081,13117
44,4083,16296
45,4084,16014
46,4085,16462
47,4086,16013
48,4087,16180
49,4090,
50,4092,
51,4094,15676
52,4095,16120
53,4096,15564
54,4097,15675
55,4098,15378
56,4099,15813
57,4100,13416
58,4101,14905
59,4102,15767
60,4103,16505
61,4104,15683
62,4105,16504
63,4106,15787
64,4107,14800
65,4108,15353
66,4115,15382
67,4130,15339
68,4132,11668
69,4137,13209
70,4138,15341
71,4139,13217
72,4141,304
73,4142,11641
74,4144,1662
75,4146,1360
76,4147,15648
77,4148,1364
78,4149,7086
79,4150,1366
80,4151,15140
81,4152,16238
82,4153,16237
83,4154,15141
84,4155,14944
85,4156,14941
86,4157,14751
87,4158,16093
88,4159,15668
89,4160,15373
90,4161,15375
91,4162,14474
92,4163,15482
93,4164,13453
94,4165,15075
95,4166,16124
96,4167,15785
97,4168,15784
98,4170,15786
99,4171,14332
100,4172,16210
101,4173,16211
102,4174,16209
103,4176,15629
104,4177,15583
105,4178,16160
106,4179,16166
107,4180,15783
108,4181,16560
109,4182,15747
110,4183,15746
111,4186,16190
112,4187,16189
113,4188,16265
114,4190,16191
115,4191,16263
116,4192,15605
117,4193,16529
118,4194,15441
119,4195,
120,4196,13032
121,4197,16256
122,4198,16322
123,4200,16295
124,4201,15656
125,4202,15655
126,4203,15415
127,4204,15414
128,4205,15413
129,4207,16023
130,4208,16024
131,4209,
132,4210,15720
133,4211,15714
134,4212,15717
135,4213,15718
136,4215,15480
137,4216,15213
138,4217,15672
139,4219,12599
140,4220,15758
141,4221,15829
142,4222,15759
143,4223,16585
144,4224,15306
145,4225,16497
146,4227,15261
147,4228,12657
148,4229,15403
149,4231,15461
150,4232,16269
151,4233,
152,4235,13905
153,4239,16567
154,4240,15436
155,4241,14725
156,4242,15310
157,4244,15770
158,4245,16097
159,4246,15428
160,4248,15033
161,4250,16317
162,4251,15032
163,4253,6616
164,4254,12203
165,4256,14253
166,4257,12476
167,4258,14485
168,4260,14945
169,4261,15662
170,4262,15663
171,4263,15664
172,4264,15665
173,4265,15136
174,4267,16537
175,4268,16307
176,4269,16244
177,4270,15839
178,4271,13460
179,4272,13089
180,4274,12942
181,4275,14864
182,4276,14527
183,4277,14865
184,4278,
185,4279,
186,4280,15690
187,4281,16330
188,4283,16154
189,4285,16153
190,4286,16066
191,4287,16065
192,4288,15292
193,4289,13771
194,4297,16246
195,4298,16501
196,4299,16578
197,4300,15567
198,4301,16553
199,4303,13172
200,4304,15120
201,4306,15949
202,4307,15946
203,4334,7818
204,4336,13599
205,4337,4679
206,4348,12586
207,4350,12588
208,4352,15940
209,4353,12587
210,4355,12589
211,4356,12585
212,4357,9562
213,4358,13854
214,4359,13853
215,4364,11585
216,4391,11467
217,4392,11586
218,4393,13765
219,4394,13766
220,4395,11587
221,4396,9636
222,4397,12639
223,4398,12641
224,4399,12640
225,4400,14768
226,4401,3506
227,4402,3510
228,4404,3507
229,4405,13230
230,4406,7819
231,4407,3509
232,4558,15426
233,4564,15621
234,4565,
235,4566,15457
236,4568,15065
237,4573,13604
238,4577,
239,4578,
240,4582,12857
241,4584,14785
242,4594,
243,4596,15476
244,4597,14000
245,4598,15478
246,4599,
247,4600,15475
248,4601,16151
249,4602,15659
250,4603,15147
251,4604,15660
252,4605,15148
253,4606,15149
254,4607,15146
255,4609,15145
256,4610,15801
257,4611,15452
258,4612,15038
259,4613,15030
260,4614,15875
261,4615,16186
262,4616,14371
263,4617,10459
264,4618,14372
265,4619,11049
266,4620,15850
267,4621,15849
268,4625,812
269,4626,807
270,4627,805
271,4628,802
272,4629,2534
273,4630,793
274,4631,791
275,4632,2179
276,4633,804
277,4634,41
278,4635,798
279,4636,2361
280,4646,15848
281,4647,16525
282,4648,16262
283,4649,16261
284,4650,15206
285,4651,11849
286,4653,13515
287,4654,13514
288,4655,13516
289,4656,10814
290,4657,11847
291,4658,13517
292,4659,
293,4662,16081
294,4664,15402
295,4665,15404
296,4666,13647
297,4668,14657
298,4669,16053
299,4670,15525
300,4671,15527
301,4672,14676
302,4673,16057
303,4674,16056
304,4675,13762
305,4676,15280
306,4677,15282
307,4678,15281
308,4679,15283
309,4680,15934
310,4681,15933
311,4682,15575
312,4683,16239
313,4684,14451
314,4686,16324
315,4687,15582
316,4689,13736
317,4690,13659
318,4692,
319,4693,
320,4697,
321,4698,
322,4702,
323,4703,15465
324,4704,15004
325,4705,14699
326,4706,15349
327,4707,15466
328,4708,14700
329,4709,10775
330,4711,16119
331,4712,15667
332,4713,14746
333,4714,15361
334,4715,15196
335,4716,15657
336,4717,15658
337,4718,15670
338,4719,16527
339,4720,16513
340,4721,
341,4722,15880
342,4723,15879
343,4725,16010
344,4726,14950
345,4727,16540
346,4728,15729
347,4729,38
348,4730,5646
349,4731,8344
350,4733,15576
351,4734,16138
352,4738,
353,4739,14366
354,4740,13412
355,4741,12601
356,4744,
357,4748,14632
358,4749,15315
359,4750,13627
360,4752,14184
361,4753,15429
362,4755,16132
363,4757,14680
364,4758,15859
365,4759,16229
366,4776,14302
367,4778,16072
368,4779,14300
369,4780,13096
370,4782,16564
371,4783,13754
372,4784,15734
373,4785,15448
374,4786,15881
375,4788,15731
376,4789,15316
377,4790,15732
378,4791,14599
379,4792,15733
380,4793,15730
381,4794,12771
382,4795,3568
383,4797,14506
384,4798,
385,4799,15811
386,4858,16342
387,4860,16292
388,4861,15307
389,4862,16047
390,4863,16255
391,4864,15154
392,4865,16274
393,4867,16148
394,4869,14360
395,4870,16149
396,4874,
397,4876,16289
398,4885,14981
399,4886,15773
400,4888,15776
401,4889,16037
402,4890,16038
403,4891,15807
404,4892,15952
405,4893,15808
406,4899,16062
407,4900,16063
408,4901,14802
409,4902,13052
410,4903,14805
411,4904,14220
412,4907,14374
413,4908,14395
414,4909,15614
415,4910,13809
416,4911,
417,4912,15612
418,4913,13814
419,4914,15613
420,4915,15615
421,4918,15533
422,4919,15531
423,4920,15530
424,4921,15608
425,4922,15586
426,4923,15928
427,4924,16276
428,4925,16277
429,4926,15456
430,4927,15425
431,4928,15047
432,4929,15927
433,4930,16155
434,4931,16280
435,4932,9937
436,4933,16281
437,4934,15554
438,4936,15106
439,4937,16283
440,4938,13379
441,4939,15338
442,4940,15337
443,4954,bon-cadeau-25-euros
444,4962,15737
445,4963,15958
446,4964,16515
447,4965,16586
448,4970,11225
449,4973,
450,4974,16004
451,4975,14756
452,4976,16005
453,4977,14930
454,4978,13313
455,4980,15229
456,4994,14507
457,4995,14509
458,4996,14508
459,5000,15868
460,5001,14581
461,5002,14580
462,5003,15869
463,5004,15871
464,5006,15870
465,5007,12791
466,5008,11602
467,5010,15073
468,5016,14839
469,5017,
470,5018,15272
471,5019,14696
472,5020,
473,5021,15630
474,5024,11996
475,5025,13914
476,5026,13913
477,5027,11997
478,5047,531
479,5056,13531
480,5061,15711
481,5062,15713
482,5063,15715
483,5067,15346
484,5068,15345
485,5069,15344
486,5070,
487,5075,
488,5375,15755
489,5377,15677
490,5379,14561
491,5380,16022
492,5382,16011
493,5383,3383
494,5384,14149
495,5389,13904
496,5391,14141
497,5393,12494
498,5394,15462
499,5395,15095
500,5396,14626
501,5397,12496
502,5398,12315
503,5439,15649
504,5443,14809
505,5444,15155
506,5445,12194
507,5446,16328
508,5448,14469
509,5465,16034
510,5474,14679
511,5477,15526
512,5479,16305
513,5480,16306
514,5481,15138
515,5483,15753
516,5484,15756
517,5485,16131
518,5486,16130
519,5487,16129
520,5488,14712
521,5491,15481
522,5504,16146
523,5505,14648
524,5506,14192
525,5519,15860
526,5520,15863
527,5522,15861
528,5523,15862
529,5524,15864
530,5525,14819
531,5544,14828
532,5545,14827
533,5546,15202
534,5547,13959
535,5548,13965
536,5550,13958
537,5551,13957
538,5552,13520
539,5554,13969
540,5559,14715
541,5560,
542,5561,19820
543,5563,19821
544,5564,15748
545,5565,19822
546,5566,16192
547,5569,
548,5570,14730
