,Unnamed: 0_x,product_id,onsale_web,price,stock_quantity,stock_status,Unnamed: 0_y
0,0,3847,1,24.2,0,outofstock,0
1,1,3849,1,34.3,0,outofstock,1
2,2,3850,1,20.8,0,outofstock,2
3,3,4032,1,14.1,0,outofstock,3
4,4,4039,1,46.0,0,outofstock,4
5,5,4040,1,34.3,0,outofstock,5
6,6,4041,1,32.7,15,instock,6
7,7,4042,1,31.2,34,instock,7
8,8,4043,1,60.0,12,instock,8
9,9,4045,1,42.6,66,instock,9
10,10,4046,1,80.0,0,outofstock,10
11,11,4047,1,18.3,36,instock,11
12,12,4048,1,22.8,22,instock,12
13,13,4049,1,19.3,46,instock,13
14,14,4050,1,21.8,0,outofstock,14
15,15,4051,1,7.7,41,instock,15
16,16,4052,1,33.7,35,instock,16
17,17,4053,1,44.3,16,instock,17
18,18,4054,1,71.6,0,outofstock,18
19,19,4055,0,86.1,0,outofstock,19
20,20,4056,1,12.7,0,outofstock,20
21,21,4057,1,8.7,112,instock,21
22,22,4058,1,8.7,267,instock,22
23,23,4059,1,8.7,36,instock,23
24,24,4060,1,11.9,73,instock,24
25,25,4062,1,11.9,60,instock,25
26,26,4063,1,14.5,10,instock,26
27,27,4064,1,14.4,27,instock,27
28,28,4065,1,19.5,35,instock,28
29,29,4066,1,20.8,65,instock,29
30,30,4067,1,22.0,31,instock,30
31,31,4068,1,16.6,157,instock,31
32,32,4069,1,60.0,0,outofstock,32
33,33,4070,1,23.4,98,instock,33
34,34,4071,1,33.2,16,instock,34
35,35,4072,1,32.0,28,instock,35
36,36,4073,1,77.8,11,instock,36
37,37,4074,1,12.7,50,instock,37
38,38,4075,1,14.7,54,instock,38
39,39,4076,1,14.05,53,instock,39
40,40,4077,1,22.9,48,instock,40
41,41,4078,1,44.0,14,instock,41
42,42,4079,1,37.0,0,outofstock,42
43,43,4081,1,39.0,0,outofstock,43
44,44,4083,1,17.0,0,outofstock,44
45,45,4084,1,23.2,14,instock,45
46,46,4085,1,19.0,37,instock,46
47,47,4086,1,16.4,31,instock,47
48,48,4087,1,14.4,45,instock,48
49,49,4090,0,73.0,0,outofstock,49
50,50,4092,0,47.0,0,outofstock,50
51,51,4094,1,13.7,24,instock,51
52,52,4095,1,12.6,19,instock,52
53,53,4096,1,22.8,12,instock,53
54,54,4097,1,12.8,26,instock,54
55,55,4098,1,22.1,22,instock,55
56,56,4099,1,12.8,43,instock,56
57,57,4100,1,15.8,7,instock,57
58,58,4101,1,15.8,37,instock,58
59,59,4102,1,16.3,16,instock,59
60,60,4103,1,16.3,6,instock,60
61,61,4104,1,9.7,37,instock,61
62,62,4105,1,6.8,42,instock,62
63,63,4106,1,12.6,26,instock,63
64,64,4107,1,35.0,35,instock,64
65,65,4108,1,31.7,0,outofstock,65
66,66,4115,1,100.0,11,instock,66
67,67,4130,1,23.0,0,outofstock,67
68,68,4132,1,88.4,5,instock,68
69,69,4137,1,29.8,0,outofstock,69
70,70,4138,1,25.7,0,outofstock,70
71,71,4139,1,77.4,7,instock,71
72,72,4141,1,39.0,1,instock,72
73,73,4142,1,53.0,8,instock,73
74,74,4144,1,49.0,11,instock,74
75,75,4146,1,29.5,33,instock,75
76,76,4147,1,33.0,7,instock,76
77,77,4148,1,37.5,18,instock,77
78,78,4149,1,69.0,34,instock,78
79,79,4150,1,59.0,17,instock,79
80,80,4151,1,13.7,0,outofstock,80
81,81,4152,1,19.2,57,instock,81
82,82,4153,1,29.0,0,outofstock,82
83,83,4154,1,9.8,128,instock,83
84,84,4155,1,14.5,70,instock,84
85,85,4156,1,20.35,1,instock,85
86,86,4157,1,12.0,10,instock,86
87,87,4158,1,18.5,0,outofstock,87
88,88,4159,1,9.3,0,outofstock,88
89,89,4160,1,9.3,0,outofstock,89
90,90,4161,1,11.6,0,outofstock,90
91,91,4162,1,14.3,26,instock,91
92,92,4163,1,10.8,18,instock,92
93,93,4164,1,7.6,19,instock,93
94,94,4165,1,12.0,57,instock,94
95,95,4166,1,20.5,8,instock,95
96,96,4167,1,14.3,36,instock,96
97,97,4168,1,18.2,50,instock,97
98,98,4170,1,9.0,58,instock,98
99,99,4171,1,7.8,65,instock,99
100,100,4172,1,5.7,167,instock,100
101,101,4173,1,5.7,100,instock,101
102,102,4174,1,5.7,94,instock,102
103,103,4176,1,13.5,276,instock,103
104,104,4177,1,13.5,109,instock,104
105,105,4178,1,11.5,12,instock,105
106,106,4179,1,24.0,73,instock,106
107,107,4180,1,24.0,47,instock,107
108,108,4181,1,11.9,137,instock,108
109,109,4182,1,16.7,53,instock,109
110,110,4183,1,21.4,48,instock,110
111,111,4186,1,16.6,0,outofstock,111
112,112,4187,1,13.3,90,instock,112
113,113,4188,1,9.5,99,instock,113
114,114,4190,1,12.1,0,outofstock,114
115,115,4191,1,9.3,209,instock,115
116,116,4192,1,17.8,43,instock,116
117,117,4193,1,13.5,55,instock,117
118,118,4194,1,10.8,5,instock,118
119,119,4195,0,14.1,0,outofstock,119
120,120,4196,1,27.2,13,instock,120
121,121,4197,1,9.4,24,instock,121
122,122,4198,1,5.8,105,instock,122
123,123,4200,1,5.8,190,instock,123
124,124,4201,1,38.0,69,instock,124
125,125,4202,1,38.0,46,instock,125
126,126,4203,1,9.9,89,instock,126
127,127,4204,1,11.3,31,instock,127
128,128,4205,1,23.0,0,outofstock,128
129,129,4207,1,6.7,195,instock,129
130,130,4208,1,7.6,578,instock,130
131,131,4209,0,73.5,0,outofstock,131
132,132,4210,1,79.8,0,outofstock,132
133,133,4211,1,48.5,0,outofstock,133
134,134,4212,1,39.8,19,instock,134
135,135,4213,1,58.8,2,instock,135
136,136,4215,1,26.5,0,outofstock,136
137,137,4216,1,13.4,34,instock,137
138,138,4217,1,17.1,17,instock,138
139,139,4219,1,16.7,0,outofstock,139
140,140,4220,1,11.6,66,instock,140
141,141,4221,1,12.8,83,instock,141
142,142,4222,1,8.9,66,instock,142
143,143,4223,1,9.7,180,instock,143
144,144,4224,1,17.2,13,instock,144
145,145,4225,1,16.9,20,instock,145
146,146,4227,1,12.6,49,instock,146
147,147,4228,1,29.9,8,instock,147
148,148,4229,1,9.6,26,instock,148
149,149,4231,1,11.1,0,outofstock,149
150,150,4232,1,11.1,35,instock,150
151,151,4233,0,20.0,0,outofstock,151
152,152,4235,1,17.1,0,outofstock,152
153,153,4239,1,28.0,18,instock,153
154,154,4240,1,28.0,1,instock,154
155,155,4241,1,8.9,7,instock,155
156,156,4242,1,8.6,85,instock,156
157,157,4244,1,13.5,50,instock,157
158,158,4245,1,8.9,141,instock,158
159,159,4246,1,15.3,25,instock,159
160,160,4248,1,14.8,64,instock,160
161,161,4250,1,19.5,14,instock,161
162,162,4251,1,14.1,102,instock,162
163,163,4253,1,59.6,15,instock,163
164,164,4254,1,26.9,0,outofstock,164
165,165,4256,1,24.4,0,outofstock,165
166,166,4257,1,31.7,0,outofstock,166
167,167,4258,1,32.1,0,outofstock,167
168,168,4260,1,12.2,22,instock,168
169,169,4261,1,9.9,89,instock,169
170,170,4262,1,15.8,35,instock,170
171,171,4263,1,15.8,50,instock,171
172,172,4264,1,17.8,48,instock,172
173,173,4265,1,9.6,21,instock,173
174,174,4267,1,19.0,21,instock,174
175,175,4268,1,15.2,55,instock,175
176,176,4269,1,10.2,1,instock,176
177,177,4270,1,15.5,31,instock,177
178,178,4271,1,16.6,56,instock,178
179,179,4272,1,9.2,25,instock,179
180,180,4274,1,12.9,0,outofstock,180
181,181,4275,1,14.9,14,instock,181
182,182,4276,1,17.6,1,instock,182
183,183,4277,1,24.8,0,outofstock,183
184,184,4278,0,21.5,0,outofstock,184
185,185,4279,0,10.8,0,outofstock,185
186,186,4280,1,18.9,46,instock,186
187,187,4281,1,11.6,4,instock,187
188,188,4283,1,27.0,58,instock,188
189,189,4285,1,41.0,24,instock,189
190,190,4286,1,69.8,4,instock,190
191,191,4287,1,38.6,22,instock,191
192,192,4288,1,26.7,8,instock,192
193,193,4289,0,22.8,0,outofstock,193
